group,phase,instance,alpha,tenure,avg_of,best_of,worst_of,std_of,avg_time_s,avg_dev_pct
small,alpha_sweep,MDG-a_1_100_m10.txt,0.1,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.1,15,355.72,355.72,355.72,0.0,10.001,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.1,15,355.5,355.5,355.5,0.0,10.001,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.1,15,354.25,354.25,354.25,0.0,10.001,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.1,15,356.06,356.06,356.06,0.0,10.001,0.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.25,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.25,15,355.72,355.72,355.72,0.0,10.0,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.25,15,355.5,355.5,355.5,0.0,10.001,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.25,15,354.25,354.25,354.25,0.0,10.001,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.25,15,356.06,356.06,356.06,0.0,10.001,0.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.5,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.5,15,355.72,355.72,355.72,0.0,10.001,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.5,15,355.5,355.5,355.5,0.0,10.001,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.5,15,354.25,354.25,354.25,0.0,10.001,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.5,15,356.06,356.06,356.06,0.0,10.001,0.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.75,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.75,15,355.72,355.72,355.72,0.0,10.001,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.75,15,355.5,355.5,355.5,0.0,10.002,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.75,15,354.25,354.25,354.25,0.0,10.0,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.75,15,356.06,356.06,356.06,0.0,10.001,0.0
small,alpha_sweep,MDG-a_1_100_m10.txt,0.9,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,0.9,15,355.72,355.72,355.72,0.0,10.001,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,0.9,15,355.5,355.5,355.5,0.0,10.001,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,0.9,15,354.25,354.25,354.25,0.0,10.001,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,0.9,15,356.06,356.06,356.06,0.0,10.001,0.0
small,alpha_sweep,MDG-a_1_100_m10.txt,-1,15,360.15,360.15,360.15,0.0,10.001,0.0
small,alpha_sweep,MDG-a_4_100_m10.txt,-1,15,355.72,355.72,355.72,0.0,10.0,0.0
small,alpha_sweep,MDG-a_10_100_m10.txt,-1,15,355.5,355.5,355.5,0.0,10.0,0.0
small,alpha_sweep,MDG-a_12_100_m10.txt,-1,15,354.25,354.25,354.25,0.0,10.0,0.0
small,alpha_sweep,MDG-a_14_100_m10.txt,-1,15,356.06,356.06,356.06,0.0,10.001,0.0
small,tenure_sweep,MDG-a_1_100_m10.txt,-1,5,360.15,360.15,360.15,0.0,10.0,0.0
small,tenure_sweep,MDG-a_4_100_m10.txt,-1,5,355.72,355.72,355.72,0.0,10.0,0.0
small,tenure_sweep,MDG-a_10_100_m10.txt,-1,5,355.5,355.5,355.5,0.0,10.0,0.0
small,tenure_sweep,MDG-a_12_100_m10.txt,-1,5,354.25,354.25,354.25,0.0,10.001,0.0
small,tenure_sweep,MDG-a_14_100_m10.txt,-1,5,356.06,356.06,356.06,0.0,10.001,0.0
small,tenure_sweep,MDG-a_1_100_m10.txt,-1,10,360.15,360.15,360.15,0.0,10.001,0.0
small,tenure_sweep,MDG-a_4_100_m10.txt,-1,10,355.72,355.72,355.72,0.0,10.001,0.0
small,tenure_sweep,MDG-a_10_100_m10.txt,-1,10,355.5,355.5,355.5,0.0,10.001,0.0
small,tenure_sweep,MDG-a_12_100_m10.txt,-1,10,354.25,354.25,354.25,0.0,10.001,0.0
small,tenure_sweep,MDG-a_14_100_m10.txt,-1,10,356.06,356.06,356.06,0.0,10.001,0.0
small,tenure_sweep,MDG-a_1_100_m10.txt,-1,15,360.15,360.15,360.15,0.0,10.001,0.0
