group,instance,alpha,run,seed,of,elapsed_s
small,MDG-a_1_100_m10.txt,0.1,0,42,360.15,10.001
small,MDG-a_1_100_m10.txt,0.1,1,43,360.15,10.002
small,MDG-a_1_100_m10.txt,0.1,2,44,360.15,10.001
small,MDG-a_4_100_m10.txt,0.1,0,42,355.72,10.002
small,MDG-a_4_100_m10.txt,0.1,1,43,355.72,10.001
small,MDG-a_4_100_m10.txt,0.1,2,44,355.72,10.0
small,MDG-a_10_100_m10.txt,0.1,0,42,355.5,10.002
small,MDG-a_10_100_m10.txt,0.1,1,43,355.5,10.003
small,MDG-a_10_100_m10.txt,0.1,2,44,355.5,10.002
small,MDG-a_12_100_m10.txt,0.1,0,42,354.25,10.001
small,MDG-a_12_100_m10.txt,0.1,1,43,354.25,10.002
small,MDG-a_12_100_m10.txt,0.1,2,44,354.25,10.001
small,MDG-a_14_100_m10.txt,0.1,0,42,356.06,10.002
small,MDG-a_14_100_m10.txt,0.1,1,43,356.06,10.0
small,MDG-a_14_100_m10.txt,0.1,2,44,356.06,10.0
small,MDG-a_1_100_m10.txt,0.25,0,42,360.15,10.003
small,MDG-a_1_100_m10.txt,0.25,1,43,360.15,10.001
small,MDG-a_1_100_m10.txt,0.25,2,44,360.15,10.001
small,MDG-a_4_100_m10.txt,0.25,0,42,355.72,10.001
small,MDG-a_4_100_m10.txt,0.25,1,43,355.72,10.002
small,MDG-a_4_100_m10.txt,0.25,2,44,355.72,10.003
small,MDG-a_10_100_m10.txt,0.25,0,42,355.5,10.002
small,MDG-a_10_100_m10.txt,0.25,1,43,355.5,10.0
small,MDG-a_10_100_m10.txt,0.25,2,44,355.5,10.001
small,MDG-a_12_100_m10.txt,0.25,0,42,354.25,10.002
small,MDG-a_12_100_m10.txt,0.25,1,43,354.25,10.003
small,MDG-a_12_100_m10.txt,0.25,2,44,354.25,10.002
small,MDG-a_14_100_m10.txt,0.25,0,42,356.06,10.002
small,MDG-a_14_100_m10.txt,0.25,1,43,356.06,10.001
small,MDG-a_14_100_m10.txt,0.25,2,44,356.06,10.002
small,MDG-a_1_100_m10.txt,0.5,0,42,360.15,10.003
small,MDG-a_1_100_m10.txt,0.5,1,43,360.15,10.0
small,MDG-a_1_100_m10.txt,0.5,2,44,360.15,10.001
small,MDG-a_4_100_m10.txt,0.5,0,42,355.72,10.003
small,MDG-a_4_100_m10.txt,0.5,1,43,355.72,10.001
small,MDG-a_4_100_m10.txt,0.5,2,44,355.72,10.002
small,MDG-a_10_100_m10.txt,0.5,0,42,355.5,10.005
small,MDG-a_10_100_m10.txt,0.5,1,43,355.5,10.003
small,MDG-a_10_100_m10.txt,0.5,2,44,355.5,10.0
small,MDG-a_12_100_m10.txt,0.5,0,42,354.25,10.001
small,MDG-a_12_100_m10.txt,0.5,1,43,354.25,10.003
small,MDG-a_12_100_m10.txt,0.5,2,44,354.25,10.004
small,MDG-a_14_100_m10.txt,0.5,0,42,356.06,10.003
small,MDG-a_14_100_m10.txt,0.5,1,43,356.06,10.002
small,MDG-a_14_100_m10.txt,0.5,2,44,356.06,10.003
small,MDG-a_1_100_m10.txt,0.75,0,42,360.15,10.003
small,MDG-a_1_100_m10.txt,0.75,1,43,360.15,10.006
small,MDG-a_1_100_m10.txt,0.75,2,44,360.15,10.001
small,MDG-a_4_100_m10.txt,0.75,0,42,355.72,10.0
small,MDG-a_4_100_m10.txt,0.75,1,43,355.72,10.002
small,MDG-a_4_100_m10.txt,0.75,2,44,355.72,10.004
small,MDG-a_10_100_m10.txt,0.75,0,42,355.5,10.003
small,MDG-a_10_100_m10.txt,0.75,1,43,355.5,10.0
small,MDG-a_10_100_m10.txt,0.75,2,44,355.5,10.003
small,MDG-a_12_100_m10.txt,0.75,0,42,354.25,10.002
small,MDG-a_12_100_m10.txt,0.75,1,43,354.25,10.003
small,MDG-a_12_100_m10.txt,0.75,2,44,354.25,10.002
small,MDG-a_14_100_m10.txt,0.75,0,42,356.06,10.0
small,MDG-a_14_100_m10.txt,0.75,1,43,356.06,10.001
small,MDG-a_14_100_m10.txt,0.75,2,44,356.06,10.001
small,MDG-a_1_100_m10.txt,0.9,0,42,360.15,10.001
small,MDG-a_1_100_m10.txt,0.9,1,43,360.15,10.003
small,MDG-a_1_100_m10.txt,0.9,2,44,360.15,10.002
small,MDG-a_4_100_m10.txt,0.9,0,42,355.72,10.004
small,MDG-a_4_100_m10.txt,0.9,1,43,355.72,10.0
small,MDG-a_4_100_m10.txt,0.9,2,44,355.72,10.001
small,MDG-a_10_100_m10.txt,0.9,0,42,355.5,10.0
small,MDG-a_10_100_m10.txt,0.9,1,43,355.5,10.001
small,MDG-a_10_100_m10.txt,0.9,2,44,355.5,10.005
small,MDG-a_12_100_m10.txt,0.9,0,42,354.25,10.004
